,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,second_sale,months_since_2010,bdrms_squared,sale_year,years_since_reno,recent_reno,zips_by_price,distance_from_space_needle,zips_by_price_ext,zips_by_price_ext_tidy,zips_by_price_ext_tidy_power,zips_by_liv_qual,mod_zips_by_liv_qual
0,2591820310,1.41255E+18,365000,4,2.25,2070,8893,2,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700,0,57.13347023,16,2014,28,0,18,244.5113675,98058,51,0.288674103,48,0.486752256
1,7974200820,1.40858E+18,865000,5,3,2900,6730,1,0,0,5,8,1830,1070,1977,0,98115,47.6784,-122.285,2370,6283,0,55.62217659,25,2014,37,0,47,244.6343069,18,18,0.401175025,16,0.786627861
2,7701450110,1.40806E+18,1038000,4,2.5,3770,10893,2,0,2,3,11,3770,0,1997,0,98006,47.5646,-122.129,3710,9685,0,55.42505133,16,2014,17,0,62,244.4783064,6,6,0.567680799,11,0.847893704
3,9522300010,1.42776E+18,1490000,3,3.5,4560,14608,2,0,2,3,12,4560,0,1990,0,98034,47.6995,-122.228,4050,14226,0,62.91581109,9,2015,25,0,37,244.5773128,47,47,0.296221841,27,0.666976811
4,9510861140,1.4053E+18,711000,3,2.5,2550,5376,2,0,0,3,9,2550,0,2004,0,98052,47.6647,-122.083,2250,4050,0,54.37371663,9,2014,10,0,53,244.432304,20,20,0.388038236,3,0.955997482
5,1761300310,1.4091E+18,211000,4,2,1710,8288,1.5,0,0,3,7,1710,0,1970,0,98031,47.3947,-122.174,1710,7200,0,55.81930185,16,2014,44,0,10,244.5234043,98031,51,0.288674103,56,0.431710523
6,7732410120,1.40841E+18,790000,4,2.5,2690,8036,2,0,0,4,9,2690,0,1987,0,98007,47.6596,-122.144,2420,8087,0,55.55646817,16,2014,27,0,45,244.4933031,98007,51,0.288674103,6,0.913931185
7,7010701383,1.4135E+18,680000,3,2.5,1800,4400,1,0,0,5,7,1350,450,1970,0,98199,47.6599,-122.396,1920,4400,0,57.49486653,9,2014,44,0,58,244.7453032,12,12,0.456014578,28,0.65704682
8,291310170,1.40711E+18,384500,3,2.5,1600,2610,2,0,0,3,8,1600,0,2005,0,98027,47.5344,-122.068,1445,1288,0,55.06365503,9,2014,9,0,46,244.4173152,32,32,0.334481889,31,0.628135105
9,4232901990,1.4002E+18,605000,2,1,910,3600,1,0,0,4,7,910,0,1909,0,98119,47.6341,-122.361,1720,3600,0,52.43531828,4,2014,105,0,64,244.7103004,11,11,0.468726936,19,0.752014254
10,6840701125,1.42966E+18,638000,3,1,1830,4400,1.5,0,0,4,8,1720,110,1930,0,98122,47.6052,-122.3,1650,4400,0,63.6386037,9,2015,85,0,50,244.6493005,19,19,0.394379073,7,0.900324523
11,3971700580,1.42534E+18,385000,3,1.75,1930,14389,1,0,0,3,7,1130,800,1963,1998,98155,47.7733,-122.317,1730,14378,0,61.99589322,9,2015,17,0,24,244.6663477,50,50,0.290486182,38,0.565525439
12,4202400078,1.4224E+18,175000,2,1,1410,7000,1,0,0,3,7,1410,0,1968,0,98055,47.4908,-122.223,1540,6000,1,60.8788501,4,2015,47,0,12,244.5723344,98055,51,0.288674103,52,0.458406011
13,6064800090,1.43096E+18,365000,3,2.25,1960,1985,2,0,0,3,7,1750,210,2003,0,98118,47.5419,-122.289,1760,1985,0,64.13141684,9,2015,12,0,23,244.6383126,98118,51,0.288674103,44,0.516851334
14,2626119028,1.42707E+18,160000,3,1,1140,3240,1.5,0,0,4,6,1140,0,1910,0,98014,47.7093,-121.364,1140,4700,0,62.65297741,9,2015,105,0,30,243.7133162,39,39,0.314212591,64,0.382892886
15,3303980660,1.40175E+18,1070000,4,3.75,4130,12320,2,0,0,3,11,4130,0,2001,0,98059,47.5194,-122.151,3690,11227,0,53.02669405,16,2014,13,0,35,244.5003209,46,46,0.298241809,43,0.524662542
16,862000020,1.42318E+18,800000,6,1,1430,20620,2,0,0,3,7,1430,0,1954,0,98004,47.6255,-122.209,2450,10080,0,61.17453799,36,2015,61,0,69,244.5583001,2,2,0.803293997,1,0.98511194
17,2386000070,1.41454E+18,795127,4,3.25,4360,91158,1,0,0,3,10,3360,1000,1993,0,98053,47.6398,-121.985,3540,90940,0,57.88911704,16,2014,21,0,56,244.3343008,16,16,0.416387885,24,0.697676326
18,1138000450,1.41342E+18,355000,4,1,1440,7215,1.5,0,0,3,7,1440,0,1969,0,98034,47.7133,-122.212,1150,7215,0,57.46201232,16,2014,45,0,37,244.5613176,47,47,0.296221841,27,0.666976811
19,1775800420,1.42284E+18,474000,4,2.25,1960,14834,1,0,0,4,8,1330,630,1976,0,98072,47.7434,-122.095,1540,15000,0,61.04312115,16,2015,39,0,40,244.4443309,27,27,0.352930386,37,0.574072261
20,2291401425,1.41031E+18,485000,5,2,1910,5508,1,0,0,3,7,1020,890,1968,0,98133,47.7074,-122.349,1030,7440,0,56.27926078,25,2014,46,0,22,244.6983154,98133,51,0.288674103,42,0.532591801
21,2025770560,1.41497E+18,930000,4,4.25,5710,24663,2,0,0,3,11,5710,0,2007,0,98092,47.3065,-122.158,4060,23847,0,58.05338809,16,2014,7,0,17,244.5075016,98092,51,0.288674103,57,0.425283191
22,3525069037,1.41644E+18,920000,3,2.75,2590,223027,2,0,0,3,9,2590,0,1983,0,98074,47.6145,-122.001,3410,212137,0,58.61190965,9,2014,31,0,57,244.3503001,10,10,0.483058802,13,0.822834658
23,9324800450,1.41281E+18,560000,3,1.5,2790,6900,1,0,2,3,8,1700,1090,1955,0,98125,47.7328,-122.288,2410,8100,0,57.23203285,9,2014,59,0,32,244.6373258,44,44,0.302460701,33,0.609570907
