zipcode,price
98001,850000.0
98002,389000.0
98003,950000.0
98004,7062500.0
98005,1960000.0
98006,4208000.0
98007,1229000.0
98008,3567000.0
98010,935000.0
98011,1075000.0
98014,1680000.0
98019,979500.0
98022,790000.0
98023,1275000.0
98024,1862000.0
98027,2700000.0
98028,1600000.0
98029,1822500.0
98030,565000.0
98031,800000.0
98032,545000.0
98033,5110800.0
98034,3120000.0
98038,1350000.0
98039,6885000.0
98040,5300000.0
98042,790000.0
98045,1488000.0
98052,1700000.0
98053,2280000.0
98055,631000.0
98056,3000000.0
98058,1500000.0
98059,1570000.0
98065,1998000.0
98070,1379900.0
98072,1565000.0
98074,3075000.0
98075,3200000.0
98077,1920000.0
98092,930000.0
98102,7700000.0
98103,1695000.0
98105,3650000.0
98106,795000.0
98107,2945000.0
98108,640000.0
98109,3200000.0
98112,3400000.0
98115,2300000.0
98116,1705000.0
98117,1370000.0
98118,2903000.0
98119,3065000.0
98122,1875000.0
98125,2050000.0
98126,970000.0
98133,808100.0
98136,2230000.0
98144,3600000.0
98146,1410000.0
98148,459000.0
98155,4500000.0
98166,2510000.0
98168,600000.0
98177,3800000.0
98178,1700000.0
98188,707000.0
98198,1350000.0
98199,3200000.0
